"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Arizona Asthma and Allergy Institute","AZ","Healthcare Provider","70372","05/03/2021","Hacking/IT Incident","Network Server","No",""
"Minimed Distribution Corp","CA","Healthcare Provider","1667","04/30/2021","Unauthorized Access/Disclosure","Electronic Medical Record, Email, Laptop, Other Portable Electronic Device","No",""
"LifeBridge Community Gastroenterology, LLC dba Woodholme Gastroenterology","MD","Healthcare Provider","50000","04/30/2021","Hacking/IT Incident","Network Server","No",""
"Achievement Center of LECOM Health","PA","Healthcare Provider","1671","04/30/2021","Hacking/IT Incident","Email","No",""
"St. John's Well Child and Family Center, Inc. ","CA","Healthcare Provider","29030","04/29/2021","Hacking/IT Incident","Network Server","No",""
"Wyoming Department of Health","WY","Health Plan","164010","04/29/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Boston Children’s Hospital","MA","Healthcare Provider","506","04/29/2021","Hacking/IT Incident","Email","No",""
"Hand to Shoulder Specialists of Wisconsin Ltd.","WI","Healthcare Provider","39317","04/28/2021","Hacking/IT Incident","Network Server","No",""
"NPS Corporation","WI","Health Plan","999","04/28/2021","Hacking/IT Incident","Network Server","No",""
"Werner Electric Supply","WI","Health Plan","720","04/28/2021","Hacking/IT Incident","Network Server","No",""
"East Brunswick Open Upright MRI, LLC","NJ","Healthcare Provider","12151","04/28/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Open Upright MRI, LLC, d/b/a Woodbridge Radiology","NJ","Healthcare Provider","25272","04/28/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Middletown Ventures Associates, LLC, d/b/a Middletown Medical Imaging","NJ","Healthcare Provider","29945","04/28/2021","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"SEES Group, LLC","TN","Healthcare Provider","3797","04/27/2021","Hacking/IT Incident","Email","No",""
"Peak Vista Community Health Centers","CO","Healthcare Provider","3118","04/26/2021","Theft","Desktop Computer","No",""
"Faxton St. Luke's Healthcare","NY","Healthcare Provider","17656","04/26/2021","Hacking/IT Incident","Network Server","Yes",""
"Doctors Medical Center of Modesto","CA","Healthcare Provider","1259","04/23/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Allergy Partners, PLLC","NC","Healthcare Provider","1087","04/23/2021","Hacking/IT Incident","Network Server","No",""
"Jackson County Health Dept","IL","Healthcare Provider","1800","04/23/2021","Unauthorized Access/Disclosure","Email","No",""
"Catholic Charities of North Dakota","ND","Healthcare Provider","1901","04/23/2021","Hacking/IT Incident","Email","No",""
"Gifford Health Care","VT","Healthcare Provider","6777","04/23/2021","Hacking/IT Incident","Network Server","Yes",""
"Entrust Medical Billing ","OH","Healthcare Provider","5426","04/22/2021","Hacking/IT Incident","Network Server","No",""
"Pediatric Associates of Milwaukee","WI","Healthcare Provider","8160","04/22/2021","Hacking/IT Incident","Network Server","No",""
"Gyrodata Incorporated","TX","Health Plan","944","04/22/2021","Hacking/IT Incident","Network Server","No",""
"Sapphire Community Health","MT","Healthcare Provider","4000","04/21/2021","Hacking/IT Incident","Network Server","No",""
"Presbyterian Medical Services","NM","Healthcare Provider","536","04/21/2021","Loss","Other","No",""
"Center for Disease Detection, LLC","TX","Healthcare Provider","2436","04/21/2021","Unauthorized Access/Disclosure","Email","No",""
"Baptist Health Arkansas","AR","Healthcare Provider","16765","04/21/2021","Hacking/IT Incident","Network Server","Yes",""
"Health Aid of Ohio, Inc.","OH","Healthcare Provider","141149","04/20/2021","Hacking/IT Incident","Network Server","No",""
"All Access Ortho","HI","Healthcare Provider","3000","04/20/2021","Hacking/IT Incident","Network Server","No",""
"Specialty Surgical Suites dba Minimally Invasive Surgery of Hawaii","HI","Healthcare Provider","500","04/20/2021","Hacking/IT Incident","Network Server","No",""
"Orthopedic Associates of Hawaii","HI","Healthcare Provider","20000","04/20/2021","Hacking/IT Incident","Network Server","No",""
"Huggins Hospital ","NH","Healthcare Provider","3616","04/19/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Kanan Medical, L.L.C","FL","Healthcare Provider","823","04/19/2021","Unauthorized Access/Disclosure","Electronic Medical Record, Laptop, Network Server","No",""
"Urgent HomeMD","TX","Healthcare Provider","615","04/19/2021","Hacking/IT Incident","Email","No",""
"Virtua Health, Inc. ","NJ","Business Associate","2704","04/16/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Texas MedClinic","TX","Healthcare Provider","6638","04/16/2021","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"ElderServe Health, Inc. dba RiverSpring Health Plans","NY","Health Plan","31195","04/16/2021","Hacking/IT Incident","Email","No",""
"MailMyPrescriptions.com Pharmacy Corporation","FL","Healthcare Provider","24037","04/16/2021","Hacking/IT Incident","Email","No",""
"North Country Hospital","VT","Healthcare Provider","1905","04/16/2021","Hacking/IT Incident","Network Server","Yes",""
"Chautauqua County","NY","Healthcare Provider","537","04/16/2021","Unauthorized Access/Disclosure","Email","No",""
"Eastern Shore Rural Health System Inc.","VA","Healthcare Provider","23282","04/16/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Sterling Area Health Center","MI","Healthcare Provider","3347","04/15/2021","Hacking/IT Incident","Network Server","Yes",""
"Neighborhood Healthcare","CA","Healthcare Provider","45200","04/14/2021","Hacking/IT Incident","Network Server","Yes",""
"Montefiore Medical Center ","NY","Healthcare Provider","943","04/13/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Midwest Transplant Network, Inc.  ","KS","Healthcare Provider","17580","04/12/2021","Hacking/IT Incident","Network Server","No",""
"Regence","OR","Health Plan","803","04/12/2021","Hacking/IT Incident","Email","Yes",""
"HME Specialists, LLC dba Home Medical Equipment Holdco, LLC","NM","Healthcare Provider","153013","04/09/2021","Hacking/IT Incident","Email","No",""
"Wolfe Clinic, P.C.","IA","Healthcare Provider","527378","04/09/2021","Hacking/IT Incident","Network Server","No",""
"Crystal Lake Clinic PC","MI","Healthcare Provider","37331","04/09/2021","Hacking/IT Incident","Network Server","No",""
"Harbor Health Services, Inc.","MA","Healthcare Provider","901","04/09/2021","Hacking/IT Incident","Network Server","Yes",""
"Health Center Partners of Southern California","CA","Business Associate","293516","04/09/2021","Hacking/IT Incident","Network Server","Yes",""
"Cadence Aerospace","CA","Health Plan","747","04/08/2021","Hacking/IT Incident","Network Server","No",""
"University Health ","TX","Healthcare Provider","2704","04/08/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Harrington Physician Services","MA","Healthcare Provider","4393","04/08/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Aloha Practice Management LLC","CA","Business Associate","3835","04/07/2021","Hacking/IT Incident","Network Server","Yes",""
"Winona Agency, Inc.","MN","Business Associate","4834","04/06/2021","Hacking/IT Incident","Email","Yes",""
"Maestro Health, LLC","IL","Business Associate","2016","04/06/2021","Hacking/IT Incident","Email","Yes",""
"Maritz Holdings Inc.","MO","Health Plan","1298","04/06/2021","Unauthorized Access/Disclosure","Email","No",""
"Atlanta Allergy & Asthma","GA","Healthcare Provider","9851","04/05/2021","Hacking/IT Incident","Network Server","No",""
"Administrative Advantage, LLC","GA","Business Associate","4852","04/05/2021","Unauthorized Access/Disclosure","Email","Yes",""
"Trinity Health","MI","Business Associate","586869","04/05/2021","Hacking/IT Incident","Network Server","Yes",""
"Total Health Care Inc.","MI","Health Plan","221454","04/05/2021","Hacking/IT Incident","Email","No",""
"Southern Orthopaedic Surgeons ","AL","Healthcare Provider","501","04/05/2021","Hacking/IT Incident","Email","No",""
"Bricker & Eckler LLP","OH","Business Associate","420532","04/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Cornerstone Municipal Advisory Group LLC dba Manquen Vance","MI","Business Associate","7018","04/02/2021","Hacking/IT Incident","Email","Yes",""
"Belden Inc.","MO","Health Plan","6348","04/02/2021","Hacking/IT Incident","Network Server","No",""
"Squirrel Hill Health Center","PA","Healthcare Provider","23869","04/02/2021","Hacking/IT Incident","Network Server","No",""
"Med-Data Incorporated","TX","Business Associate","135908","04/01/2021","Unauthorized Access/Disclosure","Other","Yes",""
"Health Prime International ","MD","Business Associate","17562","03/31/2021","Hacking/IT Incident","Network Server","Yes",""
"University Medical Center Southern Nevada","NV","Healthcare Provider","1833","03/31/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Memorial Hermann Health System","TX","Healthcare Provider","1893","03/31/2021","Unauthorized Access/Disclosure","Other","Yes",""
"Memorial Sloan Kettering Cancer Center","NY","Healthcare Provider","18913","03/31/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Three Lower Counties Community Services, Inc. d/b/a Chesapeake Health Care","MD","Healthcare Provider","2505","03/31/2021","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"Epilepsy Florida","FL","Healthcare Provider","1832","03/30/2021","Hacking/IT Incident","Other","Yes",""
"La Clinica de La Raza, Inc. (La Clinica)","CA","Healthcare Provider","31132","03/29/2021","Hacking/IT Incident","Network Server","No",""
"Midland Care Connection Inc","KS","Healthcare Provider","1364","03/29/2021","Hacking/IT Incident","Network Server","Yes",""
"Proteus Molecular and Clinical Lab, LLC","AL","Healthcare Provider","670","03/29/2021","Unauthorized Access/Disclosure","Email","No",""
"Apple Valley Clinic","MN","Healthcare Provider","157939","03/26/2021","Hacking/IT Incident","Network Server","Yes",""
"BioTel Heart","PA","Healthcare Provider","38575","03/26/2021","Hacking/IT Incident","Network Server","Yes",""
"Healthgrades Operating Company, Inc.","GA","Business Associate","35485","03/26/2021","Hacking/IT Incident","Network Server","Yes",""
"Personal Touch Holding Corp.","NY","Business Associate","753107","03/26/2021","Hacking/IT Incident","Network Server","Yes",""
"Trusted Health Plans, Inc.","DC","Health Plan","200665","03/26/2021","Hacking/IT Incident","Network Server","No",""
"Health Net of California","CA","Health Plan","523709","03/25/2021","Hacking/IT Incident","Network Server","Yes",""
"Health Net Life Insurance Company","CA","Health Plan","26637","03/25/2021","Hacking/IT Incident","Network Server","Yes",""
"Health Net Community Solutions","CA","Health Plan","686556","03/25/2021","Hacking/IT Incident","Network Server","Yes",""
"CalViva Health","CA","Health Plan","15287","03/25/2021","Hacking/IT Incident","Network Server","Yes",""
"California Health & Wellness","CA","Health Plan","80138","03/25/2021","Hacking/IT Incident","Network Server","Yes",""
"The Centers for Advanced Orthopaedics","MD","Healthcare Provider","125291","03/25/2021","Hacking/IT Incident","Email","No",""
"Citywide Health Plan","UT","Health Plan","3321","03/24/2021","Hacking/IT Incident","Network Server","No",""
"San Fernando Valley Medical Group, Inc.","CA","Healthcare Provider","1657","03/24/2021","Hacking/IT Incident","Network Server","No",""
"Mott Community College","MI","Health Plan","1612","03/24/2021","Hacking/IT Incident","Network Server","No",""
"Haven Behavioral Healthcare","TN","Business Associate","21714","03/23/2021","Hacking/IT Incident","Network Server","Yes",""
"Dallas County Hospital District d/b/a Parkland Health & Hospital System","TX","Healthcare Provider","1594","03/23/2021","Unauthorized Access/Disclosure","Email","No",""
"University of Miami","FL","Healthcare Provider","500","03/23/2021","Hacking/IT Incident","Other","No",""
"Reliant Rehabilitation","TX","Business Associate","614","03/22/2021","Hacking/IT Incident","Email","Yes",""
"Illinois Department of Healthcare and Family Services ","IL","Health Plan","8848","03/22/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"River City Whole Health, Ltd.","MT","Healthcare Provider","2714","03/20/2021","Unauthorized Access/Disclosure","Electronic Medical Record, Laptop, Paper/Films","No",""
"Victor Community Support Services","CA","Business Associate","1634","03/19/2021","Theft","Other Portable Electronic Device","Yes",""
"Gastroenterology Consultants, PA","TX","Healthcare Provider","161698","03/19/2021","Hacking/IT Incident","Network Server","No",""
"Cancer Treatment Centers of America at Midwestern Regional Medical Center","IL","Healthcare Provider","104808","03/19/2021","Hacking/IT Incident","Email","No",""
"SalusCare","FL","Healthcare Provider","85000","03/19/2021","Hacking/IT Incident","Email","No",""
"Total Life Healthcare","AR","Healthcare Provider","528","03/19/2021","Hacking/IT Incident","Network Server","Yes",""
"Brandman Centers for Senior Care","CA","Health Plan","522","03/18/2021","Hacking/IT Incident","Network Server","Yes",""
"Florida PACE Centers, Inc","FL","Health Plan","1502","03/18/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"West Virginia Senior Advantage","WV","Health Plan","1049","03/18/2021","Hacking/IT Incident","Network Server","Yes",""
"California Department of State Hospitals","CA","Healthcare Provider","4933","03/17/2021","Unauthorized Access/Disclosure","Network Server","No",""
"Sleep Medicine Associates of Texas, P.A.","TX","Healthcare Provider","994","03/17/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"Hoyman Hong, M.D. A Prof Med Corp","CA","Healthcare Provider","600","03/17/2021","Unauthorized Access/Disclosure","Email","No",""
"VNA Home Health and Hospice","MO","Healthcare Provider","517","03/17/2021","Unauthorized Access/Disclosure","Email","No",""
"Serenity Care PACE","MA","Healthcare Provider","658","03/16/2021","Unauthorized Access/Disclosure","Network Server, Other","Yes",""
"North Oaks Health System","LA","Healthcare Provider","642","03/16/2021","Hacking/IT Incident","Network Server","Yes",""
"Colorado Retina Associates, P.C.","CO","Healthcare Provider","26609","03/12/2021","Hacking/IT Incident","Email","No",""
"Walworth County Department of Health and Human Services","WI","Healthcare Provider","907","03/12/2021","Unauthorized Access/Disclosure","Email","No",""
"Sandhills Medical Foundation, Inc.","SC","Healthcare Provider","39602","03/12/2021","Hacking/IT Incident","Network Server","Yes",""
"Mobile Anesthesiologists ","IL","Healthcare Provider","65403","03/10/2021","Hacking/IT Incident","Network Server","No",""
"Assistcare Home Health Services LLC dba Preferred Home Care of NY/Preferred Gold","NY","Healthcare Provider","57345","03/10/2021","Hacking/IT Incident","Network Server","No",""
"The New London Hospital Association, Inc.","NH","Healthcare Provider","34878","03/09/2021","Hacking/IT Incident","Network Server","No",""
"Miracle-Ear","CA","Healthcare Provider","500","03/05/2021","Theft","Paper/Films","No",""
"Child Focus, Inc.","OH","Healthcare Provider","2716","03/05/2021","Hacking/IT Incident","Laptop, Network Server","No",""
"The Board of Trustees of Southern Illinois University, for and on behalf of its School of Medicine, and SIU Physicians & Surgeons, Inc. ","IL","Healthcare Provider","40330","03/05/2021","Hacking/IT Incident","Network Server","No",""
"Dyras Dental","MI","Healthcare Provider","2745","03/05/2021","Hacking/IT Incident","Network Server","No",""
"Arizona Oncology Associates, PC","AZ","Healthcare Provider","717","03/05/2021","Loss","Paper/Films","No",""
"Walmart Inc.","AR","Healthcare Provider","2067","03/05/2021","Hacking/IT Incident","Network Server","Yes",""
"Woodcreek Provider Services LLC","WA","Business Associate","207000","03/05/2021","Hacking/IT Incident","Network Server","Yes",""
"UPMC St. Margaret ","PA","Healthcare Provider","11135","03/05/2021","Unauthorized Access/Disclosure","Other","No",""
"ProPath Services, LLC","TX","Healthcare Provider","39213","03/04/2021","Hacking/IT Incident","Email","No",""
"Saint Alphonsus Health System","ID","Healthcare Provider","134906","03/04/2021","Hacking/IT Incident","Email","No",""
"Trillium Community Health Plan","OR","Health Plan","87761","03/03/2021","Hacking/IT Incident","Network Server","Yes",""
"Family Health Services MN d/b/a Entira Family Clinics","MN","Healthcare Provider","1975","03/02/2021","Hacking/IT Incident","Network Server","No",""
"PeakTPA","MO","Business Associate","50000","03/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Arizona Complete Health","AZ","Health Plan","34978","03/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Liberation Programs, Inc","CT","Healthcare Provider","7406","03/02/2021","Hacking/IT Incident","Electronic Medical Record","No",""
"New Bedford Jewish Convalescent Home, Inc.","MA","Healthcare Provider","873","03/02/2021","Hacking/IT Incident","Network Server","No",""
"ProComp Software Consultants, Inc.","OH","Business Associate","1008","03/02/2021","Hacking/IT Incident","Network Server","Yes",""
"Geisinger Health Plan","PA","Health Plan","2872","02/28/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"The SurgiCare Center of Utah","UT","Healthcare Provider","8675","02/26/2021","Hacking/IT Incident","Network Server","No",""
"Jewish Home Lifecare d/b/a The New Jewish Home","NY","Healthcare Provider","2091","02/26/2021","Hacking/IT Incident","Email","No",""
"AllyAlign Health, Inc.","VA","Health Plan","33932","02/26/2021","Hacking/IT Incident","Network Server","No",""
"Clovis Community Medical Center","CA","Healthcare Provider","994","02/26/2021","Unauthorized Access/Disclosure","Email","No",""
"Volunteer State Health Plan, Inc. d/b/a BlueCare Tennessee","TN","Business Associate","1435","02/26/2021","Unauthorized Access/Disclosure","Other","Yes",""
"The Home for the Little Wanderers","MA","Healthcare Provider","5396","02/26/2021","Unauthorized Access/Disclosure","Email","No",""
"Summit Behavioral Healthcare","TN","Healthcare Provider","70822","02/26/2021","Unauthorized Access/Disclosure","Email","No",""
"Cornerstone Care, Inc.","PA","Healthcare Provider","11487","02/25/2021","Hacking/IT Incident","Email","No",""
"InfuSystem Holdings, Inc.","MI","Business Associate","675","02/25/2021","Hacking/IT Incident","Email","Yes",""
"BW Homecare Holdings, LLC d.b.a. Elara Caring ","TX","Healthcare Provider","100487","02/24/2021","Hacking/IT Incident","Email","No",""
"Campbell County Hospital District","WY","Healthcare Provider","900","02/24/2021","Unauthorized Access/Disclosure","Email","No",""
"Kaiser Foundation Hospitals, Northern California","CA","Healthcare Provider","2121","02/23/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Orlando Health South Lake Hospital ","FL","Healthcare Provider","1673","02/23/2021","Loss","Paper/Films","No",""
"Jacobson Memorial Hospital Care Center","ND","Healthcare Provider","1545","02/23/2021","Hacking/IT Incident","Email","No",""
"Humana Inc","KY","Health Plan","62950","02/22/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Southeastern Minnesota Center for Independent Living, Inc. (""SEMCIL"")","MN","Healthcare Provider","4122","02/19/2021","Hacking/IT Incident","Email","No",""
"The Kroger Co. ","OH","Healthcare Provider","1474284","02/19/2021","Hacking/IT Incident","Network Server","No",""
"Miracle - Ear","CA","Healthcare Provider","900","02/19/2021","Theft","Paper/Films","No",""
"Miracle - Ear","CA","Healthcare Provider","1200","02/19/2021","Theft","Paper/Films","No",""
"Covenant HealthCare","MI","Healthcare Provider","47178","02/19/2021","Hacking/IT Incident","Email","No",""
"Rainbow Rehabilitation Centers, Inc","MI","Healthcare Provider","1639","02/19/2021","Hacking/IT Incident","Email","No",""
"Andor Lab","NC","Healthcare Provider","500","02/19/2021","Hacking/IT Incident","Network Server","No",""
"Project Vida Health Center","TX","Healthcare Provider","4500","02/19/2021","Hacking/IT Incident","Network Server","No",""
"Fisher Titus Health, Inc.","OH","Health Plan","49636","02/18/2021","Hacking/IT Incident","Email","No",""
"Steward West Division – AR/LA/TX ACE","TX","Healthcare Provider","877","02/16/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"RF EYE PC dba Cochise Eye and Laser","AZ","Healthcare Provider","100000","02/12/2021","Hacking/IT Incident","Network Server","No",""
"Bowling Green Inn of Pensacola, LLC  DBA Twelve Oaks Recovery","FL","Healthcare Provider","9023","02/12/2021","Hacking/IT Incident","Network Server","No",""
"Grand River Medical Group","IA","Healthcare Provider","34000","02/12/2021","Hacking/IT Incident","Desktop Computer","No",""
"Hope Healthcare Service","FL","Healthcare Provider","1152","02/11/2021","Hacking/IT Incident","Network Server","No",""
"Pitkin County","CO","Healthcare Provider","1454","02/09/2021","Unauthorized Access/Disclosure","Other","No",""
"Piedmont Health Services ","NC","Healthcare Provider","677","02/09/2021","Hacking/IT Incident","Network Server","Yes",""
"Pennsylvania Adult & Teen Challenge ","PA","Healthcare Provider","7771","02/09/2021","Hacking/IT Incident","Email","No",""
"HARVARD EYE ASSOCIATES","CA","Business Associate","29982","02/08/2021","Hacking/IT Incident","Other","Yes",""
"Gore Medical Management, LLC","GA","Healthcare Provider","79100","02/08/2021","Hacking/IT Incident","Desktop Computer","No",""
"Hackley Community Care Center","MI","Healthcare Provider","2644","02/08/2021","Hacking/IT Incident","Email","No",""
"Nevada Health Centers, Inc.","NV","Healthcare Provider","6709","02/05/2021","Hacking/IT Incident","Email","No",""
"UPMC","PA","Healthcare Provider","36086","02/05/2021","Hacking/IT Incident","Email","Yes",""
"UPMC Health Plan ","PA","Health Plan","19000","02/05/2021","Hacking/IT Incident","Email","No",""
"Granite Wellness Centers","CA","Healthcare Provider","15600","02/04/2021","Hacking/IT Incident","Network Server","No",""
"Texas Spine Consultants, LLP","TX","Healthcare Provider","25728","02/03/2021","Unauthorized Access/Disclosure","Network Server","No",""
"DataLogic Software, Inc. ","TX","Business Associate","7200","02/03/2021","Hacking/IT Incident","Network Server","Yes",""
"Fairfax County Public Schools' Health Plan","VA","Business Associate","11056","02/02/2021","Hacking/IT Incident","Email","Yes",""
"Lake Charles Memorial Health System","LA","Healthcare Provider","3802","02/01/2021","Hacking/IT Incident","Desktop Computer, Email","Yes",""
"The House Next Door, Inc.","FL","Healthcare Provider","6000","02/01/2021","Hacking/IT Incident","Email","No",""
"montefiore Medical Center ","NY","Healthcare Provider","1787","01/29/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Florida Healthy Kids Corporation","FL","Health Plan","3500000","01/29/2021","Hacking/IT Incident","Network Server","Yes",""
"Bethesda Hospital ","FL","Healthcare Provider","9148","01/29/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Leonard J. Chabert Medical Center","LA","Healthcare Provider","2254","01/29/2021","Hacking/IT Incident","Email","Yes",""
"A Renewed Mind","OH","Healthcare Provider","2428","01/29/2021","Hacking/IT Incident","Email","No",""
"County of Ramsey","MN","Healthcare Provider","8687","01/29/2021","Hacking/IT Incident","Network Server","Yes",""
"The Richards Group","VT","Business Associate","15429","01/28/2021","Hacking/IT Incident","Email","Yes",""
"Austin Hearing Services","TX","Healthcare Provider","600","01/23/2021","Unauthorized Access/Disclosure","Email","No",""
"Florida Hospital Physician Group Inc.","FL","Healthcare Provider","13759","01/22/2021","Hacking/IT Incident","Electronic Medical Record","No",""
"Inova Health System","VA","Healthcare Provider","1680","01/22/2021","Unauthorized Access/Disclosure","Email","No",""
"Lynn Community Health, Incorporated","MA","Healthcare Provider","1800","01/22/2021","Hacking/IT Incident","Email","No",""
"Merrill Iron & Steel Health Benefit Plan","WI","Health Plan","899","01/21/2021","Hacking/IT Incident","Network Server","No",""
"Limeade, Inc.","WA","Business Associate","668","01/20/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Krapf Group","PA","Health Plan","610","01/19/2021","Hacking/IT Incident","Network Server","No",""
"Hendrick Health","TX","Healthcare Provider","640436","01/15/2021","Hacking/IT Incident","Network Server","No",""
"Montgomery Hospice, Inc.","MD","Healthcare Provider","1440","01/15/2021","Hacking/IT Incident","Email","No",""
"Froedtert Health","WI","Healthcare Provider","760","01/15/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Wisconsin Department of Health Services","WI","Health Plan","1281","01/15/2021","Unauthorized Access/Disclosure","Network Server","Yes",""
"Center for Alternative Sentencing and Employment Services ","NY","Healthcare Provider","3994","01/15/2021","Hacking/IT Incident","Email","No",""
"Precision Spine Care","TX","Healthcare Provider","20787","01/12/2021","Hacking/IT Incident","Email","No",""
"WeCare TLC","FL","Healthcare Provider","2340","01/12/2021","Loss","Laptop","No",""
"KR Perio, Katherine Rodriguez, DMD","FL","Healthcare Provider","500","01/11/2021","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Jefferson Healthcare","WA","Healthcare Provider","2543","01/11/2021","Hacking/IT Incident","Email","No",""
"Feeling Great Sleep Medical Centers","NC","Healthcare Provider","5000","01/09/2021","Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Network Server","No",""
"Leon Medical Centers, LLC","FL","Healthcare Provider","76661","01/08/2021","Hacking/IT Incident","Network Server","No",""
"Roper St. Francis Healthcare","SC","Healthcare Provider","189761","01/08/2021","Hacking/IT Incident","Email","No",""
"American Anesthesiology, Inc.","NY","Healthcare Provider","1269074","01/08/2021","Hacking/IT Incident","Email","Yes",""
"Managed Health Services (MHS)","IN","Health Plan","11988","01/08/2021","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Walgreen Co.","IL","Healthcare Provider","16089","01/08/2021","Unauthorized Access/Disclosure","Email","No",""
"University Medical Center of New Orleans","LA","Business Associate","8085","01/07/2021","Hacking/IT Incident","Email","Yes",""
"Gastroenterology Consultants Ltd","NV","Healthcare Provider","2500","01/06/2021","Hacking/IT Incident","Network Server","No",""
"Desert Oasis Healthcare","CA","Healthcare Provider","1122","01/04/2021","Unauthorized Access/Disclosure","Other","No",""
"South Country Health Alliance ","MN","Health Plan","66874","12/31/2020","Hacking/IT Incident","Email","No",""
"Apex Laboratory, Inc. ","NY","Healthcare Provider","7102","12/31/2020","Hacking/IT Incident","Network Server","No",""
"REEF Global Inc. ","FL","Health Plan","3951","12/31/2020","Hacking/IT Incident","Network Server","No",""
"Mattapan Community Health Center","MA","Healthcare Provider","4075","12/31/2020","Hacking/IT Incident","Email","No",""
"Prestera Center for Mental Health Services, Inc.","WV","Healthcare Provider","3708","12/31/2020","Hacking/IT Incident","Email","No",""
"Simpson Senior Services, Inc.","PA","Healthcare Provider","3259","12/31/2020","Hacking/IT Incident","Email","No",""
"Workplace Vitality Inc. (“Workplace Vitality”)","NY","Healthcare Provider","2850","12/31/2020","Hacking/IT Incident","Email","No",""
"Peach State Health Plan","GA","Health Plan","3443","12/30/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Ambetter for Arizona Complete Health","AZ","Health Plan","518","12/29/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Superior HealthPlan","TX","Health Plan","3748","12/29/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Buckeye Health Plan","OH","Health Plan","606","12/29/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Sunshine State Health Plan","FL","Health Plan","3429","12/29/2020","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Total Vision, LLC","CA","Business Associate","138402","12/28/2020","Hacking/IT Incident","Network Server","Yes",""
"AllCare Health, Inc.","OR","Health Plan","5793","12/28/2020","Hacking/IT Incident","Network Server","Yes",""
"Riverside Community Care, Inc.","MA","Healthcare Provider","5452","12/23/2020","Hacking/IT Incident","Network Server","No",""
"Sky Lakes Medical Center","OR","Healthcare Provider","501","12/23/2020","Hacking/IT Incident","Network Server","No",""
"Agency for Community Treatment Services, Inc.","FL","Healthcare Provider","73825","12/22/2020","Hacking/IT Incident","Network Server","No",""
"Gainwell Technologies LLC ","AR","Business Associate","3317","12/22/2020","Loss","Paper/Films","Yes",""
"Aetna ACE","CT","Health Plan","484157","12/22/2020","Hacking/IT Incident","Email","Yes",""
"Health Plan of San Joaquin","CA","Health Plan","418842","12/21/2020","Hacking/IT Incident","Email","No",""
"Kristina T Nguyen, DDS, PC","VA","Healthcare Provider","8000","12/21/2020","Hacking/IT Incident","Network Server","No",""
"BlueCross BlueShield of Tennessee, Inc.","TN","Health Plan","1340","12/18/2020","Unauthorized Access/Disclosure","Email","Yes",""
"Iowa Total Care, Inc.","IA","Health Plan","536","12/18/2020","Unauthorized Access/Disclosure","Email","No",""
"Wilmington Surgical Associates, P.A.","NC","Healthcare Provider","114834","12/17/2020","Hacking/IT Incident","Network Server","No",""
"Comprehensive Neurology, PC","NY","Healthcare Provider","6800","12/17/2020","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Community Eye Care, LLC","NC","Health Plan","149804","12/17/2020","Hacking/IT Incident","Email","No",""
"MEDNAX Services, Inc.","FL","Business Associate","1290670","12/16/2020","Hacking/IT Incident","Email","Yes",""
"Benjamin Rose Institute on Aging","OH","Healthcare Provider","1452","12/15/2020","Hacking/IT Incident","Email","No",""
